"Daily Weather Observations for Canberra, Australian Capital Territory for July 2016"
"Prepared at 13:02 GMT on Wednesday 12 July 2017   IDCJDW2801.201607"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-07-1,-0.4,11.6,1.0,,,NW,48,00:03,5.7,79,,NNW,17,1016.4,10.5,60,2,NNW,20,1018.5
,2016-07-2,-3.8,13.3,0.2,,,WNW,35,16:25,1.4,91,, ,Calm,1027.4,12.6,49,,WNW,20,1024.4
,2016-07-3,-5.2,12.9,0,,,NNW,35,16:22,0.2,95,,NW,7,1027.5,12.5,56,,NNW,20,1023.4
,2016-07-4,-2.4,8.4,0,,,N,17,14:39,2.5,99,8,SSE,7,1021.3,8.1,74,8,NNE,7,1017.5
,2016-07-5,0.3,8.0,4.8,,,NW,35,16:39,4.6,99,8,ESE,9,1012.4,7.9,97,8,SSW,7,1007.7
,2016-07-6,4.4,11.3,18.0,,,NW,39,12:26,6.2,90,7,WNW,22,1006.3,9.5,84,8,N,9,1006.9
,2016-07-7,6.2,14.6,0.4,,,S,41,11:25,11.3,77,3,S,15,1020.0,14.6,54,5,SSW,19,1019.8
,2016-07-8,2.8,13.2,0,,,SSW,19,10:15,7.8,88,8,SSE,7,1022.5,12.2,73,8,SE,13,1020.3
,2016-07-9,3.6,13.1,1.0,,,W,17,12:36,8.1,92,8, ,Calm,1025.7,11.9,69,6,N,13,1023.7
,2016-07-10,1.9,13.8,0,,,NNE,24,14:13,8.4,87,7,ESE,7,1026.2,13.0,62,5,NNE,13,1021.0
,2016-07-11,7.8,13.4,9.8,,,NW,50,15:10,9.8,88,8,N,19,1014.3,13.0,71,1,NW,35,1010.2
,2016-07-12,6.7,11.2,0.8,,,NNW,91,16:48,7.7,84,8,NNW,28,1010.8,9.7,67,6,NW,43,1006.0
,2016-07-13,0.6,7.1,4.8,,,WNW,69,11:22,2.2,83,3,NW,31,1016.8,5.6,56,7,WNW,20,1021.6
,2016-07-14,0.6,11.2,0,,,WNW,48,15:12,4.8,69,,N,17,1030.1,10.4,40,,WNW,31,1026.8
,2016-07-15,-3.1,13.1,0,,,N,30,01:56,1.8,82,,SE,9,1032.0,12.7,41,,NW,4,1028.7
,2016-07-16,-3.0,16.1,0.2,,,N,17,16:19,2.5,87,,N,7,1034.7,15.4,49,,NNW,9,1030.6
,2016-07-17,1.1,16.2,0,,,NW,22,14:37,3.2,99,8,S,6,1033.1,15.8,54,,WNW,15,1028.3
,2016-07-18,-1.8,17.6,0.2,,,NW,56,12:21,6.7,99,,S,4,1026.0,16.0,66,3,W,22,1023.2
,2016-07-19,6.7,18.8,2.6,,,NW,35,12:48,13.8,96,8,N,17,1023.8,16.7,78,2,NNW,20,1021.7
,2016-07-20,11.1,14.4,8.6,,,SW,20,06:06,11.8,99,8,ESE,9,1021.8,14.1,79,7,NNE,11,1021.8
,2016-07-21,8.5,14.9,0.2,,,NNW,24,16:58,10.1,97,8,SW,6,1022.1,13.7,76,8,NW,7,1017.4
,2016-07-22,9.6,16.9,0.6,,,NNW,78,13:27,13.7,99,8,NW,33,1008.5,16.3,87,8,NNW,52,999.0
,2016-07-23,4.7,10.4,3.6,,,WNW,76,01:06,6.9,77,2,NW,35,1002.5,8.0,58,8,N,20,1007.2
,2016-07-24,-2.2,8.4,0.2,,,W,48,20:16,3.8,74,, ,Calm,1016.2,7.6,58,7,NNW,22,1011.4
,2016-07-25,3.2,10.9,8.4,,,NW,54,16:41,6.6,82,2,NW,30,1012.4,8.6,68,8,NW,28,1013.0
,2016-07-26,4.5,10.2,0.2,,,NW,65,00:14,6.2,71,,NW,30,1016.1,9.8,54,7,NW,30,1013.6
,2016-07-27,4.6,11.8,5.2,,,WNW,43,14:25,7.0,88,8,NNW,28,1012.3,11.4,62,,WNW,26,1015.4
,2016-07-28,1.4,12.6,0,,,WNW,41,17:09,6.1,78,,N,15,1025.4,12.3,52,,WNW,26,1023.3
,2016-07-29,-3.4,12.8,0.2,,,NW,41,14:52,5.0,85,,ESE,6,1024.3,11.7,60,,NW,31,1020.5
,2016-07-30,-1.0,11.9,0,,,NNW,26,15:29,3.4,99,8,N,6,1025.4,11.6,61,,N,15,1021.2
,2016-07-31,3.3,14.9,0,,,W,43,09:22,9.7,76,,NW,20,1019.0,14.0,65,4,NNW,20,1017.4