"Daily Weather Observations for Melbourne (Olympic Park), Victoria for July 2016"
"Prepared at 13:02 GMT on Wednesday 12 July 2017   IDCJDW3033.201607"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-07-1,7.3,14.1,6.4,,,WSW,28,11:59,10.2,89,,SW,9,1019.1,13.3,61,,WSW,9,1020.7
,2016-07-2,9.9,16.5,0.2,,,NW,28,11:54,12.2,77,,NNW,9,1025.3,15.3,58,,W,11,1024.3
,2016-07-3,10.9,16.7,0,,,N,41,13:54,12.3,76,,N,11,1024.3,16.4,57,,NNW,17,1020.7
,2016-07-4,10.4,12.7,0,,,N,31,06:08,11.5,69,,N,15,1017.7,12.5,64,,N,13,1014.2
,2016-07-5,8.2,12.8,0.6,,,SSE,28,18:16,10.1,87,,SSW,6,1012.9,11.5,91,,S,13,1010.4
,2016-07-6,9.8,13.0,22.6,,,S,37,09:05,12.4,87,,S,15,1017.1,12.8,84,,S,13,1018.5
,2016-07-7,10.5,13.7,3.8,,,SE,31,16:13,10.8,97,,S,7,1023.1,13.6,80,,ESE,17,1020.6
,2016-07-8,9.7,15.3,0.8,,,NNW,20,12:56,10.5,90,,NNE,7,1021.2,15.0,65,,S,4,1020.3
,2016-07-9,5.3,15.2,0.2,,,NE,13,06:12,6.6,100,,NNE,9,1025.5,14.6,60,, ,Calm,1023.2
,2016-07-10,6.5,14.2,0,,,N,59,21:29,8.3,97,,E,2,1020.1,12.3,80,,N,17,1013.7
,2016-07-11,8.3,16.0,3.6,,,N,59,12:35,13.2,67,,N,20,1002.6,14.5,57,,N,28,1001.0
,2016-07-12,10.7,13.7,0,,,NW,63,13:12,12.5,58,,NNW,26,996.9,11.4,51,,NNW,22,998.3
,2016-07-13,4.5,12.0,0.4,,,NW,43,00:01,6.7,67,,WNW,15,1015.6,11.5,55,,WNW,17,1020.9
,2016-07-14,6.6,14.0,1.0,,,NNW,43,13:53,8.8,68,,N,13,1028.8,13.0,52,,NW,15,1027.5
,2016-07-15,8.8,14.1,0,,,NW,20,00:41,11.7,64,,NW,11,1031.9,13.7,63,,NW,9,1030.3
,2016-07-16,7.8,13.7,0,,,SSW,17,11:20,10.5,70,,NE,6,1033.4,13.4,57,,SW,7,1030.4
,2016-07-17,3.1,16.1,0,,,N,56,13:23,9.7,77,,N,20,1028.1,15.6,45,,N,28,1024.3
,2016-07-18,9.6,17.7,0,,,N,52,06:38,13.2,75,,N,26,1019.4,16.4,68,,NNW,19,1016.9
,2016-07-19,12.6,16.0,0,,,S,20,12:42,13.8,79,, ,Calm,1022.1,15.1,68,,S,2,1020.6
,2016-07-20,9.8,16.1,1.8,,,SSW,17,14:45,11.5,97,,NNW,2,1023.1,14.4,76,,SSW,9,1021.1
,2016-07-21,6.9,18.1,1.8,,,N,50,22:24,9.3,100,,NNE,6,1016.5,18.0,65,,N,20,1011.4
,2016-07-22,9.2,18.3,7.8,,,N,59,02:06,16.8,76,,N,15,996.9,12.8,73,,WNW,15,995.4
,2016-07-23,7.5,11.6,2.8,,,WSW,44,02:58,8.9,59,,WNW,11,1004.5,9.5,65,,WNW,15,1008.6
,2016-07-24,4.7,11.4,0.8,,,N,48,11:41,6.4,76,,NNE,15,1010.8,10.7,64,,N,20,1006.6
,2016-07-25,6.3,14.3,0,,,NNW,59,15:39,9.5,72,,N,13,1008.9,13.3,51,,NNW,26,1004.7
,2016-07-26,6.5,11.0,4.8,,,NNW,46,11:24,8.0,68,,N,15,1013.0,10.2,60,,N,17,1010.0
,2016-07-27,7.5,12.9,0.4,,,N,37,00:25,9.9,92,,SW,9,1012.9,12.3,50,,WSW,11,1017.4
,2016-07-28,6.9,15.2,0,,,NW,37,13:13,10.2,73,,N,15,1023.7,15.1,52,,WNW,13,1022.3
,2016-07-29,10.2,15.3,0,,,NNW,31,09:18,11.8,76,,N,15,1021.4,15.2,67,,WNW,11,1019.3
,2016-07-30,9.1,13.8,2.4,,,N,59,21:01,11.2,85,,N,19,1021.0,12.6,74,,N,28,1016.6
,2016-07-31,10.3,17.0,2.0,,,NNW,52,00:14,11.6,86,,N,11,1016.8,16.6,39,,NW,15,1014.3