"Daily Weather Observations for Gold Coast, Queensland for July 2016"
"Prepared at 13:04 GMT on Wednesday 12 July 2017   IDCJDW4050.201607"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the Gold Coast Seaway, at the northern end of Southport Spit."
"The Gold Coast Seaway site is an Automatic Weather Station (AWS) at the northern end of Southport Spit. If you are interested in the southern end of the Gold Coast, see the observations from Coolangatta."
"Observations were drawn from Gold Coast Seaway {station 040764}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-07-1,11.4,21.8,0,,,W,37,10:43,17.1,70,,NNW,6,1019.9,21.5,32,,WNW,20,1016.8
,2016-07-2,9.3,20.9,0,,,SSE,26,11:34,14.6,49,,W,9,1024.5,19.6,40,,ESE,13,1022.6
,2016-07-3,10.6,21.6,0,,,ENE,20,15:45,16.3,63,,SW,7,1026.8,19.5,57,,ENE,17,1023.2
,2016-07-4,10.1,21.6,0,,,NNE,24,19:24,16.9,67,,WNW,7,1023.5,20.3,69,,ENE,13,1019.0
,2016-07-5,16.0,19.2,6.4,,,NW,35,10:57,18.0,100,,WNW,11,1015.1,18.1,86,,NNW,13,1011.2
,2016-07-6,10.8,17.8,1.2,,,WNW,52,14:34,13.9,46,,NNW,13,1014.8,17.1,40,,WNW,33,1011.0
,2016-07-7,12.0,22.8,0,,,WNW,48,03:12,16.7,49,,W,28,1013.4,21.7,51,,ESE,11,1012.3
,2016-07-8,12.3,23.0,0,,,W,31,14:42,16.6,66,,WNW,11,1018.0,22.8,41,,W,15,1014.5
,2016-07-9,11.4,22.2,0,,,SSE,39,18:25,17.0,65,,WSW,9,1020.4,20.7,47,,SSE,24,1018.4
,2016-07-10,10.3,22.7,0,,,SE,33,13:53,16.7,70,,WNW,9,1023.6,20.4,66,,SE,30,1020.7
,2016-07-11,14.0,22.3,0,,,NW,35,13:19,17.0,85,,WNW,9,1021.5,21.8,68,,N,15,1017.4
,2016-07-12,15.8,21.6,0,,,NNW,30,14:33,17.1,96,,N,13,1018.4,21.4,78,,NNW,17,1014.2
,2016-07-13,16.2,21.5,0,,,WNW,33,10:52,16.8,54,,WNW,19,1020.5,19.6,30,,SW,11,1020.1
,2016-07-14,12.3,18.8,0,,,S,39,10:01,17.3,46,,S,26,1027.5,16.6,54,,S,20,1025.9
,2016-07-15,13.1,17.8,0,,,SSE,48,10:36,17.0,70,,SSE,30,1027.6,16.9,65,,S,31,1025.0
,2016-07-16,16.2,19.0,0,,,SSE,52,04:35,17.2,69,,SSE,31,1028.9,18.1,75,,SE,37,1026.2
,2016-07-17,15.6,21.7,8.6,,,E,41,07:15,18.5,93,,S,11,1027.6,20.7,78,,SE,30,1024.7
,2016-07-18,15.9,22.0,0,,,S,31,03:49,19.2,94,,SSW,7,1026.6,21.2,77,,SE,19,1023.9
,2016-07-19,15.4,24.8,0.2,,,NNE,30,14:43,20.2,81,,WNW,11,1024.0,23.0,70,,NNE,24,1020.5
,2016-07-20,15.4,25.3,0,,,N,31,15:54,20.2,83,,NW,13,1022.3,23.5,65,,N,20,1017.9
,2016-07-21,17.1,24.9,,,,,,,20.0,80,,NW,15,1018.4,22.1,80,,SE,22,1015.5
,2016-07-22,16.7,26.9,0,,,NNW,31,21:25,21.0,87,,N,11,1015.7,24.7,66,,N,22,1010.4
,2016-07-23,18.2,28.9,0,,,W,56,14:35,23.5,72,,NW,24,1008.4,28.0,34,,W,31,1006.5
,2016-07-24,12.5,20.7,0,,,W,26,02:00,18.9,45,,SW,2,1016.7,19.6,51,,ENE,17,1013.2
,2016-07-25,13.2,22.0,0,,,WNW,28,11:07,18.0,31,,WNW,20,1017.8,21.3,30,,NNW,15,1014.8
,2016-07-26,12.8,20.2,0,,,NNW,26,20:57,15.3,60,,NW,11,1019.0,18.9,45,,NNE,9,1015.7
,2016-07-27,14.9,19.7,0,,,W,35,12:04,16.5,41,,WNW,19,1017.4,18.9,39,,NNW,13,1015.9
,2016-07-28,8.1,22.6,0,,,SSE,31,11:16,17.0,42,,WNW,9,1023.6,21.2,51,,SE,26,1021.6
,2016-07-29,11.0,23.6,,,,,,,16.8,68,,NW,11,1023.5,22.9,34,,NNW,13,1019.1
,2016-07-30,10.7,21.5,0,,,ESE,24,15:13,15.4,66,,WNW,9,1020.9,20.6,59,,ESE,19,1018.4
,2016-07-31,12.4,24.1,0,,,NNE,31,16:04,17.6,69,,NW,11,1020.4,23.5,32,,NW,13,1016.3