"Daily Weather Observations for Sydney, New South Wales for July 2016"
"Prepared at 13:01 GMT on Wednesday 12 July 2017   IDCJDW2124.201607"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-07-1,7.7,16.7,0,4.0,,NW,52,01:49,11.0,58,7,WNW,13,1015.7,16.4,33,1,WSW,20,1016.2
,2016-07-2,8.2,18.2,0,2.8,9.5,W,37,00:09,10.1,62,1,W,24,1025.5,17.8,36,1,W,17,1023.2
,2016-07-3,6.5,18.1,0,3.6,9.5,W,24,09:27,9.2,72,1,W,17,1026.6,16.5,42,0,ENE,13,1022.6
,2016-07-4,6.4,15.6,0,3.4,7.5,W,22,00:41,7.6,77,5,WNW,13,1020.8,14.4,58,7,SE,6,1016.2
,2016-07-5,7.5,18.8,4.8,0.6,5.8,NW,46,23:42,9.6,90,8,W,11,1011.9,17.7,55,2,NW,17,1006.1
,2016-07-6,9.5,17.7,0.2,4.4,4.8,W,61,11:39,12.9,54,6,WNW,22,1004.0,15.9,47,6,WSW,31,1003.0
,2016-07-7,12.9,17.2,29.4,6.4,1.6,S,50,10:55,14.9,85,7,S,19,1015.4,14.6,86,7,WSW,22,1016.5
,2016-07-8,12.4,15.6,22.4,,0.0,W,28,00:42,12.7,92,8,W,17,1019.8,15.5,80,8,SSW,7,1018.4
,2016-07-9,8.7,18.0,2.2,0.6,5.2,SW,30,19:13,10.5,88,3,WNW,20,1023.5,16.4,64,5,S,13,1022.4
,2016-07-10,10.5,17.9,1.0,1.8,7.3,W,30,04:51,11.9,90,3,WNW,13,1025.1,16.7,69,3,E,15,1021.3
,2016-07-11,11.8,18.6,0,3.2,0.3,NW,69,13:42,15.5,63,7,N,20,1015.2,18.3,54,7,N,39,1009.7
,2016-07-12,14.8,20.2,0.2,1.2,7.8,NW,54,16:40,16.6,41,6,WNW,15,1010.3,18.7,26,7,NW,33,1007.1
,2016-07-13,9.6,14.0,0,8.0,9.8,W,72,13:08,10.5,40,3,WNW,37,1017.3,13.3,26,7,WSW,37,1019.8
,2016-07-14,6.7,17.0,0,5.2,9.6,WSW,50,21:53,8.6,54,7,W,30,1029.4,16.4,27,2,W,20,1025.9
,2016-07-15,6.4,17.7,0,3.0,9.5,W,31,10:16,8.8,60,1,W,22,1030.3,16.9,35,2,E,4,1027.3
,2016-07-16,6.9,18.9,0,1.8,4.7,W,28,08:00,9.3,71,2,W,19,1033.3,17.1,65,7,SSE,15,1030.2
,2016-07-17,9.2,18.8,0.8,1.8,3.2,WNW,24,09:37,13.3,91,7,W,13,1031.2,17.8,73,7,ESE,2,1027.1
,2016-07-18,11.0,24.2,0,1.2,8.9,WNW,30,13:54,11.5,92,1,W,9,1024.6,23.9,45,0,WNW,15,1019.8
,2016-07-19,11.4,24.9,0.2,3.2,6.2,NW,20,00:48,18.0,71,7, ,Calm,1021.7,23.0,58,5,NE,6,1019.1
,2016-07-20,16.5,16.9,17.0,2.4,0.0,SW,35,20:20,16.7,91,8,S,9,1019.7,16.2,90,8,WSW,13,1018.4
,2016-07-21,13.9,19.3,20.4,1.8,2.6,W,31,03:48,14.6,92,7,W,15,1019.9,17.6,79,5,NW,2,1016.1
,2016-07-22,13.1,25.7,0,0.2,7.4,NNW,52,13:08,19.3,66,6,NNW,30,1009.1,25.1,44,4,NW,30,1001.0
,2016-07-23,14.5,17.4,6.0,7.6,10.0,WNW,69,07:46,14.5,35,1,WNW,44,1004.3,17.0,31,1,W,43,1003.8
,2016-07-24,7.8,14.3,0,4.0,5.4,WSW,46,02:35,8.7,50,7,W,22,1015.8,13.6,39,2,NW,15,1012.1
,2016-07-25,8.4,17.9,0,4.0,9.9,W,44,16:36,12.2,50,1,NNW,19,1012.7,17.1,31,1,WNW,24,1011.3
,2016-07-26,10.2,17.9,0,4.8,9.9,WNW,39,19:57,14.0,52,1,N,6,1014.7,17.7,47,1,E,9,1012.8
,2016-07-27,10.8,18.6,0,5.4,10.1,W,63,12:36,14.7,53,2,NW,19,1012.2,18.5,32,3,WSW,26,1013.3
,2016-07-28,8.8,19.4,0,4.0,10.1,WSW,48,20:33,11.1,57,1,W,19,1024.3,19.0,34,0,WNW,11,1020.5
,2016-07-29,7.3,18.5,0,4.0,10.1,WSW,50,19:29,9.8,61,1,W,24,1023.0,17.6,34,2,WNW,11,1018.0
,2016-07-30,8.7,19.8,0,4.2,10.0,W,33,00:38,10.4,63,1,W,26,1023.3,17.9,50,3,ESE,9,1020.2
,2016-07-31,10.4,20.9,0,2.8,3.2,W,24,07:22,11.9,75,7,W,15,1018.0,20.5,37,2,WNW,7,1015.3